animal,N,ID,Subspecies,B2.TOT,B2.UV,B2.VIS,B2.NIR,B2.TOT.EGG,B2.UV.EGG,B2.VIS.EGG,B2.NIR.EGG,class,treetax_initial_class
Cinnyris_fuscus,128,Cinfus,NA,41.31125112,7.290919675,11.75025422,51.93972748,NA,NA,NA,NA,Aves,Nectarinia_fusca
Cinnyris_manoensis,129,Cinger,NA,38.74764893,9.120641112,14.93541957,47.45211987,NA,NA,NA,NA,Aves,Nectarinia_manoensis
Cinnyris_habessinicus,130,Cinhab,NA,40.0892483,5.224072726,9.63981884,51.02769759,NA,NA,NA,NA,Aves,Nectarinia_habessinica
Cinnyris_humbloti,131,Cinhum,NA,37.10535463,4.853470201,10.06425603,46.89994234,NA,NA,NA,NA,Aves,Nectarinia_humbloti
Cinnyris_johannae,132,Cinjoh,NA,36.20573813,7.372589521,8.140939344,46.07580412,NA,NA,NA,NA,Aves,Nectarinia_johannae
Cinnyris_jugularis,133,Cinjug,NA,39.98128433,9.14425484,18.91938656,47.97417577,NA,NA,NA,NA,Aves,Nectarinia_jugularis
Cinnyris_lotenius,134,Cinlot,NA,34.49499326,6.88746334,12.84251293,42.45236958,NA,NA,NA,NA,Aves,Nectarinia_lotenia
Cinnyris_loveridgei,135,Cinlov,NA,39.73844483,10.89507792,13.52684552,49.07852419,NA,NA,NA,NA,Aves,Nectarinia_loveridgei
Cinnyris_mariquensis,136,Cinmar,NA,38.77379005,6.462536735,9.028142444,49.34933187,NA,NA,NA,NA,Aves,Nectarinia_mariquensis
Cinnyris_mediocris,137,Cinmed,NA,39.68533268,5.880994698,11.53261977,49.89927748,NA,NA,NA,NA,Aves,Nectarinia_mediocris
Cinnyris_melanogastrus,138,Cinmel,NA,37.36265392,4.583579112,10.77486904,47.06247462,NA,NA,NA,NA,Aves,Cinnyris_melanogastrus
Cinnyris_minullus,139,Cinmin,NA,37.83481737,6.274950311,12.3264882,47.14887352,NA,NA,NA,NA,Aves,Nectarinia_minulla
Cinnyris_moreaui,140,Cinmoe,NA,35.75253015,5.72315803,9.881896027,45.07469077,NA,NA,NA,NA,Aves,Cinnyrismoreaui
Cinnyris_moreaui,141,Cinmor,NA,33.98613479,6.045839535,10.53608732,42.48086885,NA,NA,NA,NA,Aves,Nectarinia_moreaui
Cinnyris_nectarinioides,142,Cinnec,NA,41.24885247,6.199290926,10.80079127,52.20021444,NA,NA,NA,NA,Aves,Nectarinia_nectarinioides
Cinnyris_osea,143,Cinose,NA,34.92714854,6.38908545,7.664724524,44.55105957,NA,NA,NA,NA,Aves,Nectarinia_osea
Cinnyris_pulchellus,144,Cinpul,NA,40.14310009,6.669082672,13.24696546,49.97670984,NA,NA,NA,NA,Aves,Nectarinia_pulchella
Cinnyris_regius,145,Cinreg,NA,40.78004142,6.904368632,13.12427412,50.85542268,NA,NA,NA,NA,Aves,Nectarinia_regia
Drepanorhynchus_reichenowi,146,Cinrei,NA,37.9595493,6.7901979,11.62648466,47.4837261,NA,NA,NA,NA,Aves,Nectarinia_reichenowi
Cinnyris_rockefelleri,147,Cinroc,NA,39.05610032,6.293661931,10.43165312,49.33600766,NA,NA,NA,NA,Aves,Nectarinia_rockefelleri
Cinnyris_solaris,148,Cinsol,NA,27.47491717,7.565609826,11.76161622,33.23851629,NA,NA,NA,NA,Aves,Nectarinia_solaris
Cinnyris_sovimanga,149,Cinsov,NA,38.49636302,3.959152976,7.776148801,49.4895373,NA,NA,NA,NA,Aves,Nectarinia_sovimanga
Cinnyris_stuhlmanni,150,Cinstu,NA,36.32559514,9.91909744,11.86933675,45.00743562,NA,NA,NA,NA,Aves,Nectarinia_stuhlmanni
Cinnyris_superbus,151,Cinsup,NA,36.16352693,6.760486866,11.23463924,45.17407612,NA,NA,NA,NA,Aves,Nectarinia_superba
Cinnyris_talatala,152,Cintal,NA,44.6771419,13.14999712,19.57301189,53.87760475,NA,NA,NA,NA,Aves,Nectarinia_talatala
