studio: session log -> session_20260908_111739.jsonl
floor: building pipeline (modules ok)
floor: pipeline created
Compute pipeline created
THE ENGINE STUDIO: overlay ready (F1)
Vulkan engine initialized: 2560 x 1440, 2 frames in flight
Chimera Engine running at http://localhost:8091/state
  /frame  -> PNG of the current render (membrane if one is loaded)
  /membrane (POST) -> load a story membrane scene
Window: 2560x1440, Press Ctrl+C to stop.
Controls: Left-drag orbit | Scroll zoom | Right-drag pan
          WASD move | Q/E up-down | Space/Ctrl zoom | R reset | P pose toggle
          F1 THE ENGINE STUDIO overlay (pipeline board + live status)
FPS: 56 (frame 56) | ft ms avg 9.13 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.17 max 10.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.15 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.02 max 9.50 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 9.73 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 57) | ft ms avg 9.07 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.12 max 10.50 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.12 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.05 max 9.51 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 57) | ft ms avg 9.13 max 10.06 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.03 max 9.76 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.21 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.13 max 10.44 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.18 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.18 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.17 max 10.32 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 11.98 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.26 max 10.84 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.11 max 9.92 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.12 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.11 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.16 max 10.83 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.05 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.03 max 9.50 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 57) | ft ms avg 9.02 max 9.60 | >16.7ms: 0 >33ms: 0
