Species,Video,stridenumber,subs_diam,subs_ori,subs_hght,hipTD,kneeTD,ankleTD,hlTD,hipMID,kneeMID,ankleMID,hlMID,hipLO,kneeLO,ankleLO,hlLO,shoulderTD,elbowTD,wristTD,flTD,shoulderMID,elbowMID,wristMID,flMID,shoulderLO,elbowLO,wristLO,flLO,subs_compl,tree_species,meanElbowAng,meanKneeAng,meanFLAng,meanHLAng,elbowYld,kneeYld,shoulderExcur,hipExcur,flExcur,hlExcur,horizVsang,incVsdec,sex,age,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,Mass,subs_diam_std
Plecturocebus_discolor,GOPR1350_3-95.MP4,1,0.016,15,NA,27.17433333,102.7413333,70.48,60.93633333,48.70266667,97.73666667,47.82233333,84.35033333,58.879,77.906,114.8776667,116.341,80.414,98.82466667,NA,134.6006667,50.68666667,83.23133333,NA,105.7433333,25.12666667,120.2276667,143.992,56.113,NA,NA,100.7612222,92.79466667,95.35683333,88.63866667,15.59333333,5.004666667,55.28733333,31.70466667,78.48766667,55.40466667,0.034074174,0.258819045,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.160645168
Plecturocebus_discolor,GOPR1350_3-95.MP4,2,0.016,15,NA,16.901,81.30833333,90.08233333,62.14333333,29.87766667,83.117,86.35366667,82.40833333,89.057,107.987,121.0406667,123.502,87.44866667,106.7466667,NA,140.988,42.12433333,76.00766667,155.046,99.142,34.663,135.3826667,175.7293333,57.65666667,NA,NA,106.0456667,90.80411111,99.32233333,92.82266667,30.739,-1.808666667,52.78566667,72.156,83.33133333,61.35866667,0.034074174,0.258819045,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.160645168
Plecturocebus_discolor,GOPR1442_3-73,1,0.016,28.5,NA,24.91033333,90.148,84.847,64.968,31.93733333,85.953,85.42966667,81.65266667,90.005,107.6526667,138.024,135.204,93.613,129.5996667,142.075,125.2033333,72.426,104.4343333,142.45,104.614,37.88133333,163.733,165.1233333,47.87666667,NA,NA,132.589,94.58455556,86.54,100.086,25.16533333,4.195,55.73166667,65.09466667,77.32666667,70.236,0.121182887,0.47715876,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.160645168
Plecturocebus_discolor,GOPR1442_3-73,2,0.016,28.5,NA,36.079,103.48,80.55666667,85.795,46.914,87.14766667,64.40233333,96.11133333,97.86333333,112.1856667,127.9846667,129.0313333,86.561,104.5713333,NA,142.2273333,49.02533333,88.64466667,162.0966667,104.2113333,38.324,148.4513333,164.209,56.83966667,NA,NA,113.8891111,100.9377778,99.5335,107.4131667,15.92666667,16.33233333,48.237,61.78433333,85.38766667,43.2363333,0.121182887,0.47715876,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.160645168
Plecturocebus_discolor,GOPR1442_3-73,3,0.016,28.5,NA,38.49266667,87.58833333,76.198,76.48733333,44.68466667,85.20633333,77.91533333,96.157,80.041,88.009,135.9686667,134.9463333,NA,104.7133333,174.2363333,NA,NA,NA,NA,NA,18.01633333,123.35,156.7346667,43.058,NA,NA,NA,86.93455556,NA,105.7168333,NA,2.382,NA,41.54833333,NA,58.45899997,0.121182887,0.47715876,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.160645168
Plecturocebus_discolor,GOPR2560_3-127.MP4,1,0.028,-17.9,NA,13.786,81.69266667,88.10866667,56.513,35.13666667,68.23333333,74.83766667,91.11433333,NA,68.31833333,86.771,NA,NA,NA,NA,NA,53.88533333,89.67533333,130.0143333,101.5216667,23.619,115.683,118.033,63.92833333,NA,NA,NA,72.74811111,NA,NA,NA,13.45933333,NA,NA,NA,NA,0.048405596,-0.307356618,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.281129044
Plecturocebus_discolor,GOPR2560_3-127.MP4,2,0.028,-17.9,NA,NA,NA,NA,NA,NA,71.114,64.725,NA,22.81166667,41.78866667,96.75266667,101.0986667,93.14733333,131.152,135.4173333,120.779,47.06633333,99.951,NA,95.96966667,16.069,107.9023333,NA,56.27433333,NA,NA,113.0017778,NA,88.52666667,NA,31.201,NA,77.07833333,NA,64.50466667,NA,0.048405596,-0.307356618,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.281129044
Plecturocebus_discolor,GOPR2560_3-127.MP4,3,0.028,-17.9,NA,17.48866667,111.5443333,92.997,44.56,31.90633333,70.23433333,58.12366667,89.40366667,43.73966667,65.77033333,89.49866667,106.4236667,NA,NA,NA,NA,NA,NA,NA,NA,41.10866667,104.958,171.546,87.30433333,NA,NA,NA,82.51633333,NA,75.49183333,NA,41.31,NA,26.251,NA,61.8636667,0.048405596,-0.307356618,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.281129044
Plecturocebus_discolor,GOPR2808_1-115.MP4,1,0.024,-33.4,NA,35.701,117.5623333,92.26233333,66.34233333,51.76066667,104.9916667,79.62,89.17566667,50.60066667,68.25566667,88.503,122.0963333,108.744,142.8276667,141.79,131.071,68.30033333,119.773,125.6656667,103.1673333,33.77133333,101.3333333,171.892,75.019,NA,NA,121.3113333,96.93655556,103.045,94.21933333,23.05466667,12.57066667,74.97266667,14.89966667,56.052,55.75399997,0.165152137,-0.55048074,unknown,adult,-0.15281335,0.305090511,-0.192013827,0.3109215,0.823708397,-0.009885754,0.002132579,9.86E-16,-1.14E-08,-7.30E-17,4.56E-10,-1.08E-16,2.07E-10,0.988,0.240967752
Saimiri_sciureus,GOPR0723.MP4_2115,1,0.017,32.7,NA,37.80066667,138.2273333,110.1143333,62.02033333,74.67233333,142.9796667,107.5876667,95.723,107.6446667,141.4226667,135.8096667,131.1486667,119.5683333,90.88233333,139.8986667,60.80333333,127.8,107.039,118.4653333,81.53566667,54.298,142.2926667,147.9583333,77.89166667,NA,NA,113.4046667,140.8765556,69.3475,96.5845,-16.15666667,-4.752333333,65.27033333,69.84400003,17.08833333,69.12833337,0.158489218,0.54024032,unknown,adult,-0.156738693,0.321582195,-0.155190554,0.341405241,-0.399932128,0.001391648,0.000110626,-0.707106781,-1.18E-08,2.11E-18,3.13E-10,1.79E-17,1.54E-10,0.7205,0.189628784
Saimiri_sciureus,GOPR1411_2-106twosq.MP4_1,1,0.041,15.6,NA,43.23466667,124.208,85.369,72.936,69.55533333,141.071,NA,91.63833333,100.698,132.24,136.5393333,127.478,103.4723333,135.1263333,127.6433333,130.63,74.28133333,130.1703333,103.9013333,101.316,39.64566667,127.5686667,NA,73.04033333,NA,NA,130.9551111,132.5063333,101.8351667,100.207,4.956,-16.863,63.82666667,57.46333333,57.58966667,54.542,0.036837433,0.268919821,unknown,adult,-0.156738693,0.321582195,-0.155190554,0.341405241,-0.399932128,0.001391648,0.000110626,-0.707106781,-1.18E-08,2.11E-18,3.13E-10,1.79E-17,1.54E-10,0.7205,0.457340008
Saimiri_sciureus,GOPR1411_2-106twosq.MP4_621,1,0.041,15.6,NA,40.322,128.4483333,83.40233333,68.09666667,55.165,123.539,83.69433333,90.685,78.64133333,115.935,111.6183333,117.1896667,101.312,129.4016667,146.3136667,131.806,66.542,111.4066667,154.0396667,101.121,49.80866667,138.0696667,155.005,76.093,NA,NA,126.2926667,122.6407778,103.9495,92.64316667,17.995,4.909333333,51.50333333,38.31933333,55.713,49.09300003,0.036837433,0.268919821,unknown,adult,-0.156738693,0.321582195,-0.155190554,0.341405241,-0.399932128,0.001391648,0.000110626,-0.707106781,-1.18E-08,2.11E-18,3.13E-10,1.79E-17,1.54E-10,0.7205,0.457340008
Saimiri_sciureus,GOPR1411_2-106twosq.MP4_621,2,0.041,15.6,NA,43.70833333,137.718,103.8463333,66.67533333,52.745,121.4733333,97.97766667,88.46233333,83.86,110.9093333,113.941,120.547,97.41466667,136.843,132.443,121.7586667,73.24866667,124.453,105.251,101.7533333,31.21233333,120.5176667,157.3966667,66.77933333,NA,NA,127.2712222,123.3668889,94.269,93.61116667,12.39,16.24466667,66.20233333,40.15166667,54.97933333,53.87166667,0.036837433,0.268919821,unknown,adult,-0.156738693,0.321582195,-0.155190554,0.341405241,-0.399932128,0.001391648,0.000110626,-0.707106781,-1.18E-08,2.11E-18,3.13E-10,1.79E-17,1.54E-10,0.7205,0.457340008
