======================================================================
THE KERNEL — BONE v2 print run
N=320, column=4x4x18, seed=20260806, control=packed, dt=0.0005
----------------------------------------------------------------------
STATEMENT: A cold-ordered cushion-spaced column between two pinned
  anchor plates can be preloaded to 1.5x its end-weight, remain
  seated and intact, spring back elastically after half-release, and
  outperform a packed-bed control under overload.
PREDICTION: End gaps stay < R_C, zero escapees, force/length return
  within 10% after half-release, ordered deflection/load <= 1/2 of
  the packed-bed control under overload.
FALSIFIERS:
  (a) SEATING   — any end gap > r_c during preload hold
  (b) ESCAPE    — any column point with NN > r_c under preload
  (c) SPRING-BACK — force/length after release differ >10% from loading
  (d) ORDERED BEATS RANDOM — ordered deflection/load not 2x better
======================================================================

Derived end-weight = 1645.231
Derived F_pre      = 2467.847


[bone] N=320 column=288 plates=32
[bone] v_plate=0.05000 lu/tick, dt=0.0005
[bone] F_pre=2467.847

[bone] tick= 15000 phase=converge     | closure=0.75011 | force=31.309 | length=0.25483 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1311 | clusters=   1 | bound=1.000
[bone] tick= 15500 phase=converge     | closure=0.77511 | force=447.918 | length=0.24541 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1335 | clusters=   1 | bound=1.000
[bone] tick= 16000 phase=converge     | closure=0.80010 | force=726.932 | length=0.23386 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1372 | clusters=   1 | bound=1.000
[bone] tick= 16500 phase=converge     | closure=0.82510 | force=634.588 | length=0.24381 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1392 | clusters=   1 | bound=1.000
[bone] tick= 17000 phase=converge     | closure=0.85010 | force=974.717 | length=0.22881 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1426 | clusters=   1 | bound=1.000
[bone] tick= 17500 phase=converge     | closure=0.87510 | force=839.825 | length=0.24030 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1387 | clusters=   1 | bound=1.000
[bone] tick= 18000 phase=converge     | closure=0.90010 | force=658.173 | length=0.25053 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1349 | clusters=   1 | bound=1.000

[bone] preload reached at tick 18479: force=2475.157 closure=0.92405

