======================================================================
THE KERNEL — BONE v2 print run
N=320, column=4x4x18, seed=20260806, control=none, cycles=2, dt=0.0005
----------------------------------------------------------------------
STATEMENT: A cold-ordered cushion-spaced column between two pinned
  anchor plates can be preloaded to 1.5x its end-weight, remain
  seated and intact, spring back elastically after half-release, and
  outperform a packed-bed control under overload.
PREDICTION: End gaps stay < R_C, zero escapees, force/length return
  within 10% after half-release, ordered deflection/load <= 1/2 of
  the packed-bed control under overload.
FALSIFIERS:
  (a) SEATING   — any end gap > r_c during preload hold
  (b) ESCAPE    — any column point with NN > r_c under preload
  (c) SPRING-BACK — force/length after release differ >10% from loading
  (d) ORDERED BEATS RANDOM — ordered deflection/load not 2x better
======================================================================

Derived end-weight = 1645.231
Derived F_pre      = 2467.847


[bone] N=320 column=288 plates=32
[bone] v_plate=0.05000 lu/tick, dt=0.0005
[bone] F_pre=2467.847

[bone] tick=   500 cycle=1 phase=converge     | closure=0.02500 | force=192.531 | length=0.19373 | gap_L=0.3728 | gap_R=0.3587 | escape=0 | deflect=0.2401 | clusters=   3 | bound=1.000
[bone] tick=  1000 cycle=1 phase=converge     | closure=0.05001 | force=218.630 | length=0.25822 | gap_L=0.3200 | gap_R=0.3232 | escape=0 | deflect=0.1512 | clusters=   3 | bound=1.000
[bone] tick=  1500 cycle=1 phase=converge     | closure=0.07501 | force=230.746 | length=0.24075 | gap_L=0.3129 | gap_R=0.3223 | escape=0 | deflect=0.1325 | clusters=   3 | bound=1.000
[bone] tick=  2000 cycle=1 phase=converge     | closure=0.10002 | force=245.472 | length=0.24835 | gap_L=0.2991 | gap_R=0.3030 | escape=0 | deflect=0.1317 | clusters=   2 | bound=1.000
[bone] tick=  2500 cycle=1 phase=converge     | closure=0.12502 | force=260.000 | length=0.24805 | gap_L=0.2820 | gap_R=0.2955 | escape=0 | deflect=0.1265 | clusters=   1 | bound=1.000
[bone] tick=  3000 cycle=1 phase=converge     | closure=0.15002 | force=275.921 | length=0.24910 | gap_L=0.2642 | gap_R=0.2876 | escape=0 | deflect=0.1263 | clusters=   1 | bound=1.000
[bone] tick=  3500 cycle=1 phase=converge     | closure=0.17503 | force=294.662 | length=0.24908 | gap_L=0.2411 | gap_R=0.2857 | escape=0 | deflect=0.1264 | clusters=   1 | bound=1.000
[bone] tick=  4000 cycle=1 phase=converge     | closure=0.20003 | force=322.633 | length=0.24922 | gap_L=0.2043 | gap_R=0.2976 | escape=0 | deflect=0.1265 | clusters=   1 | bound=1.000
[bone] tick=  4500 cycle=1 phase=converge     | closure=0.22504 | force=404.719 | length=0.25047 | gap_L=0.1340 | gap_R=0.3423 | escape=0 | deflect=0.1264 | clusters=   2 | bound=1.000
[bone] tick=  5000 cycle=1 phase=converge     | closure=0.25004 | force=564.759 | length=0.23760 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1259 | clusters=   2 | bound=1.000
[bone] tick=  5500 cycle=1 phase=converge     | closure=0.27505 | force=246.203 | length=0.24521 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1361 | clusters=   2 | bound=1.000
