tax_id	name_txt	unique_name	name_class
90387	USNM-104441	USNM-104441 <type material>	type material
90387	USNM104441	USNM104441 <type material>	type material
90387	USNM:104441	USNM:104441 <type material>	type material
90388	Macaca nemestrina nemestrina		scientific name
168259	Macaca maura x tonkeana		scientific name
171293	Macaca hecki x tonkeana		scientific name
179089	Macaca fuscata yakui Kuroda, 1941		authority
179089	Macaca fuscata yakui		scientific name
230653	Macacus pagensis Miller, 1903		authority
230653	Mentawai macaque		genbank common name
230653	Macaca pagensis		scientific name
230653	Macaca nemestrina pagensis		synonym
230653	Macacus pagensis		synonym
230653	USNM 121653	USNM 121653 <type material>	type material
230653	USNM-121653	USNM-121653 <type material>	type material
230653	USNM121653	USNM121653 <type material>	type material
230653	USNM:121653	USNM:121653 <type material>	type material
244255	Macaca siberu Fuentes & Olson, 1995		authority
244255	Siberut macaque		genbank common name
244255	Macaca siberu		scientific name
244255	Macaca nemestrina siberu		synonym
257877	Macaca thibetana thibetana		scientific name
402888	Macaca munzala Sinha, Datta, Madhusudan & Mishra, 2005		authority
402888	Arunachal macaque		genbank common name
402888	Macaca munzala		scientific name
439030	Macaca radiata radiata		scientific name
1215360	Macaca fascicularis fascicularis		scientific name
1411634	Macaca assamensis assamensis		scientific name
1449913	Macaca mulatta lasiotus (Gray, 1868)		authority
1449913	Macaca mulatta lasiotus		scientific name
1449913	Macaca mulatta lasiota		synonym
1654737	Macaca mulatta brevicaudatus (Elliot, 1913)		authority
1654737	Macaca mulatta brevicaudus		scientific name
1654737	Macaca mulatta brevicaudatus		synonym
1747270	Macaca fascicularis aureus Geoffroy Saint-Hilaire, 1831		authority
1747270	Macaca fascicularis aureus		scientific name
1747270	Macaca fascicularis aurea		synonym
1885588	Macaca leucogenys Li, Zhao & Fan, 2015		authority
1885588	Macaca leucogenys Li, Zhao, Fan 2015		authority
1885588	Macaca leucogenys		scientific name
2008792	Macaca mulatta vestita (Milne-Edwards, 1892)		authority
2008792	Macaca mulatta vestita		scientific name
2623225	unclassified Macaca		scientific name
2838830	Macaca sp. XT-2021		scientific name
3016450	Macaca mulatta x Macaca fascicularis		equivalent name
3016450	Macaca fascicularis x Macaca mulatta		scientific name
